
100 200 a y 11 11 11 11
101 300 a y 11 11 11 11
102 230 a y 11 11 11 11
104 300 a y 11 11 11 11
105 230 a y 11 11 11 11
106 200 a y 11 11 11 11
107 300 a y 11 11 11 11
108 230 a y 11 11 11 11
109 200 a y 11 11 11 11
110 300 a y 11 11 11 11
111 230 a y 11 11 11 11
112 300 a y 11 11 11 11
113 230 a y 11 11 11 11
114 230 a y 11 12 11 12
115 300 a y 11 11 11 11
116 230 a y 11 11 11 11
117 230 a y 11 11 11 11
118 300 a y 11 11 11 11
119 230 a y 11 11 11 11
120 230 a y 11 11 11 11
121 230 a y 11 11 11 11
122 230 a y 11 11 11 11
123 230 a y 11 11 11 11
124 230 a y 11 11 11 11
125 230 a y 11 11 11 11
126 230 a y 11 11 11 11
127 230 a y 11 11 11 11
128 230 a y 11 11 11 11
129 230 a y 11 11 11 11
130 230 a y 11 11 11 11
130 230 a y 11 11 11 11
131 400 a n 
131 400 a n 
